id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
117,6.46,2.87,4.16,1.89,2
118,3.9599999999999995,3.27,-0.3600000000000001,-0.38999999999999996,0
119,5.5200000000000005,1.8400000000000003,3.05,0.87,1
120,5.949999999999999,2.92,4.58,1.6600000000000001,2
121,4.75,3.56,0.32000000000000006,-0.19999999999999996,0
122,5.59,2.49,3.55,1.0,1
123,4.42,3.35,0.06000000000000005,-0.21999999999999997,0
124,6.109999999999999,2.74,3.3500000000000005,0.95,1
125,4.61,2.35,3.87,1.43,2
126,6.159999999999999,2.67,3.6699999999999995,0.9,1
127,6.59,2.38,4.38,1.16,2
128,5.75,2.92,3.8800000000000003,1.3599999999999999,1
129,4.49,3.03,0.31999999999999984,-0.26999999999999996,0
130,7.6000000000000005,3.75,6.49,2.1100000000000003,2
131,5.6,1.9900000000000002,3.15,0.63,1
132,5.46,2.6799999999999997,3.59,1.08,1
133,5.47,2.42,3.9699999999999998,1.11,1
134,4.99,2.13,2.71,0.6300000000000001,1
135,4.51,2.85,0.7899999999999999,-0.16,0
136,5.859999999999999,2.61,2.8200000000000003,0.7199999999999999,1
137,5.66,3.06,4.239999999999999,1.81,2
138,6.55,2.87,4.489999999999999,1.25,1
139,5.739999999999999,2.71,3.9400000000000004,1.0699999999999998,1
140,4.16,2.7600000000000002,0.24,-0.38999999999999996,0
141,5.68,2.57,3.45,1.24,2
142,5.24,2.46,3.8500000000000005,0.96,1
143,7.58,2.7399999999999998,6.44,1.89,2
144,4.94,3.66,0.72,-0.02999999999999997,0
145,7.0600000000000005,2.4699999999999998,5.34,1.4100000000000001,2
146,7.16,3.51,5.54,1.7000000000000002,2
147,4.86,2.23,3.0,0.87,1
148,5.8,2.59,3.94,1.4300000000000002,2
149,6.99,3.49,5.659999999999999,2.31,2
150,4.74,3.37,1.4700000000000002,0.14,0
151,5.390000000000001,3.4,1.48,0.39,0
152,5.8100000000000005,2.64,4.32,1.56,2
153,6.72,3.16,5.74,2.23,2
154,4.69,3.04,0.5299999999999999,-0.08999999999999997,0
155,5.5600000000000005,2.46,3.4299999999999997,1.21,2
156,6.45,2.87,4.66,2.07,2
157,4.71,3.19,0.66,-0.15999999999999998,0
158,5.81,2.6,4.6899999999999995,1.4200000000000002,1
159,6.010000000000001,2.5999999999999996,4.779999999999999,1.8400000000000003,2
160,4.27,2.7199999999999998,0.2799999999999998,-0.18,0
161,5.72,2.76,4.93,2.32,2
162,7.800000000000001,3.75,6.2,1.91,2
163,6.8100000000000005,2.99,5.16,1.44,2
164,5.39,2.49,3.2299999999999995,0.62,1
165,5.54,2.46,3.4,1.19,2
166,5.78,2.08,3.52,0.79,1
167,6.140000000000001,2.8000000000000003,4.09,1.5999999999999999,2
168,4.449999999999999,3.06,0.10000000000000009,-0.39999999999999997,0
169,6.9,3.44,5.46,2.2199999999999998,2
170,3.8899999999999997,2.73,-0.010000000000000009,-0.45,0
171,4.59,3.28,0.42000000000000004,-0.08000000000000002,0
172,5.58,2.3200000000000003,3.37,1.1400000000000001,2
173,4.1499999999999995,3.06,0.2100000000000002,-0.39999999999999997,0
174,6.01,2.35,4.38,1.63,2
175,4.92,1.96,3.33,0.92,1
176,5.3100000000000005,3.35,1.5,0.11000000000000001,0
177,6.18,2.83,4.8100000000000005,1.5,2
178,5.1000000000000005,3.54,0.87,-0.07,0
179,6.08,2.99,4.55,1.38,1
180,4.87,2.5300000000000002,3.2,1.0999999999999999,1
181,6.2,2.85,5.39,1.71,2
182,5.24,2.41,2.71,0.69,1
183,5.6,2.8,4.9,2.0,2
184,4.51,3.24,0.26,-0.15000000000000002,0
185,4.9,2.74,3.4299999999999997,1.04,1
186,6.04,2.96,4.300000000000001,1.8900000000000001,2
187,4.25,2.92,0.98,0.06,0
188,4.19,2.73,-0.020000000000000018,-0.56,0
189,6.0,2.64,3.52,1.06,1
190,5.59,2.33,3.3800000000000003,1.1400000000000001,2
191,4.720000000000001,3.0,1.1099999999999999,-0.07,0
192,5.569999999999999,2.7199999999999998,3.7600000000000007,1.31,2
193,4.71,3.15,0.7899999999999999,-0.06,0
194,5.8100000000000005,2.4899999999999998,4.35,1.6600000000000001,2
195,4.640000000000001,3.0,-0.1299999999999999,-0.29999999999999993,0
196,4.72,3.5999999999999996,0.68,-0.04999999999999999,0
197,4.48,2.88,0.61,-0.28,0
198,4.739999999999999,3.21,0.73,-0.13,0
199,4.86,3.23,1.0999999999999999,0.07,0
200,5.010000000000001,3.49,0.66,-0.15999999999999998,0
201,4.789999999999999,2.57,2.77,0.75,1
202,4.760000000000001,3.57,-0.06000000000000005,-0.18999999999999995,0
203,4.1,3.1399999999999997,0.32999999999999985,-0.16000000000000003,0
204,6.14,2.82,5.27,1.6600000000000001,2
205,5.4,4.24,0.86,0.12,0
206,6.390000000000001,2.77,4.27,1.05,2
207,5.91,2.8899999999999997,4.0200000000000005,1.37,2
208,6.47,2.99,5.44,1.78,2
209,6.01,2.69,3.1500000000000004,0.8599999999999999,1
210,6.220000000000001,2.8,3.9099999999999997,1.1300000000000001,1
211,4.949999999999999,3.2199999999999998,1.38,0.36,0
212,6.4,2.84,4.029999999999999,1.8399999999999999,2
213,5.9399999999999995,2.92,4.26,1.25,1
214,4.51,3.7399999999999998,0.030000000000000027,-0.54,0
215,4.57,3.3200000000000003,-0.050000000000000044,-0.47000000000000003,0
216,6.28,2.6900000000000004,4.86,1.78,2
217,4.94,3.5700000000000003,1.27,0.14,0
218,6.18,2.68,4.1899999999999995,1.5300000000000002,2
219,5.33,2.86,3.92,1.25,1
220,5.47,2.48,3.93,1.27,1
221,6.57,2.93,4.7,1.8,2
222,6.3100000000000005,2.79,4.130000000000001,1.55,2
223,4.5600000000000005,3.1300000000000003,1.01,0.07,0
224,3.8100000000000005,2.59,0.1499999999999999,-0.34,0
225,5.08,2.2800000000000002,2.1799999999999997,0.43000000000000005,1
226,5.28,2.6799999999999997,3.31,0.91,1
227,4.33,3.15,0.8899999999999999,-0.24,0
228,4.75,3.6199999999999997,0.8600000000000001,-0.12,0
229,5.46,2.42,3.2800000000000002,0.8899999999999999,1
230,5.79,2.6900000000000004,3.88,1.19,1
231,5.609999999999999,2.14,3.4200000000000004,0.86,1
232,4.800000000000001,3.39,0.22999999999999998,-0.35000000000000003,0
233,5.8100000000000005,2.79,4.24,1.26,2
234,4.88,2.62,2.5599999999999996,0.63,1
235,4.3100000000000005,2.79,0.25,-0.44000000000000006,0
236,4.69,3.2,1.58,0.19,0
237,5.46,2.67,3.59,1.08,1
238,4.46,3.17,0.04999999999999982,-0.29,0
239,4.9,3.5500000000000003,1.19,0.11000000000000001,0
240,5.62,3.76,1.52,0.21999999999999997,0
241,4.97,3.28,0.9099999999999999,-0.009999999999999981,0
242,6.61,3.0500000000000003,5.42,2.32,2
243,5.08,2.0799999999999996,3.1,0.91,1
244,5.35,1.86,2.62,0.4,1
245,5.05,2.48,2.9,1.06,1
246,4.390000000000001,2.89,1.38,0.19,0
247,3.4899999999999998,2.58,-0.6299999999999999,-0.65,0
248,7.640000000000001,3.6599999999999997,5.8500000000000005,1.76,2
249,6.3500000000000005,2.92,3.66,1.0799999999999998,1
250,5.55,2.5700000000000003,4.569999999999999,1.67,2
251,5.67,2.78,3.6899999999999995,1.0099999999999998,1
252,6.34,2.81,4.42,1.9599999999999997,2
253,6.5600000000000005,3.02,5.29,2.27,2
254,5.88,2.8800000000000003,3.7799999999999994,1.4300000000000002,2
255,6.800000000000001,3.0500000000000003,4.69,1.41,1
256,5.33,3.75,0.19999999999999996,-0.22999999999999998,0
257,4.86,3.43,1.31,0.47,0
258,4.61,3.1500000000000004,1.1,0.11000000000000001,0
259,4.68,1.83,2.83,0.71,1
260,5.48,3.6799999999999997,1.23,0.09,0
261,5.29,2.8800000000000003,3.5,1.24,1
262,5.409999999999999,2.8,3.2,1.1300000000000001,1
263,4.46,3.1300000000000003,1.0999999999999999,0.07,0
264,5.640000000000001,2.87,4.55,1.56,2
265,4.23,2.75,0.07000000000000006,-0.52,0
266,4.96,3.7199999999999998,1.29,0.07,0
267,5.739999999999999,2.81,4.130000000000001,1.47,2
268,4.61,2.8,0.7700000000000001,-0.15999999999999998,0
269,6.41,2.5999999999999996,3.9699999999999998,1.04,1
270,7.42,2.91,6.22,1.9300000000000002,2
271,5.89,2.89,4.45,1.61,2
272,5.79,3.03,3.62,1.1300000000000001,1
273,6.25,2.81,3.09,0.7,1
274,4.1,2.63,-0.10000000000000009,-0.55,0
275,6.23,2.26,4.8,1.37,2
276,5.5,2.4,3.79,1.1,1
277,6.68,2.57,4.9799999999999995,1.23,2
278,6.93,2.91,5.54,1.9400000000000002,2
279,5.62,2.69,3.83,1.08,2
280,5.9399999999999995,3.11,5.23,2.17,2
281,6.74,2.97,5.37,2.04,2
282,6.04,2.71,3.54,0.97,1
283,6.13,2.41,4.63,1.74,2
284,5.6899999999999995,2.58,3.7800000000000002,1.06,2
285,7.34,2.81,5.34,1.9699999999999998,2
286,5.42,2.35,4.41,1.74,2
287,5.45,2.52,4.359999999999999,1.5799999999999998,2
288,5.99,2.38,3.07,0.6499999999999999,1
289,4.02,2.89,0.15999999999999992,-0.34,0
290,5.55,2.31,4.42,0.8899999999999999,2
291,4.869999999999999,2.38,2.52,0.8900000000000001,1
292,4.869999999999999,3.6799999999999997,1.01,0.09,0
293,5.92,2.59,3.34,0.98,1
294,5.04,3.56,0.95,-0.03999999999999998,0
295,7.45,2.67,6.18,1.77,2
296,4.89,3.39,0.95,0.0,0
297,3.96,2.81,0.010000000000000009,-0.48999999999999994,0
298,5.22,2.59,3.1399999999999997,1.08,2
299,5.029999999999999,2.2,2.6799999999999997,0.5700000000000001,1
300,4.34,3.0100000000000002,0.8400000000000001,-0.13,0
301,5.24,2.41,3.9099999999999997,1.38,2
302,4.11,2.85,0.67,-0.07,0
303,6.45,2.8000000000000003,4.39,1.1,2
304,6.53,3.0100000000000002,4.91,1.9599999999999997,2
305,4.04,2.85,-0.10999999999999988,-0.41,0
306,5.79,2.69,3.4299999999999997,0.93,1
307,6.29,2.83,3.1900000000000004,0.7499999999999999,1
308,5.9799999999999995,2.63,4.42,1.2,2
309,6.08,3.34,5.15,2.19,2
310,5.970000000000001,2.92,4.15,1.83,2
311,4.22,3.0,0.5899999999999999,-0.14999999999999997,0
312,5.19,3.79,0.8600000000000001,0.21000000000000002,0
313,5.2,2.2399999999999998,3.06,0.73,1
314,5.699999999999999,2.39,4.76,1.0299999999999998,2
315,6.16,2.18,4.42,1.46,1
316,5.06,3.78,1.52,0.16,0
317,7.28,2.38,6.010000000000001,1.9099999999999997,2
318,6.47,2.92,3.5700000000000003,0.9099999999999999,1
319,4.489999999999999,2.18,1.71,0.54,1
320,5.2,2.74,3.13,0.74,1
321,5.95,3.1199999999999997,3.96,1.28,1
322,5.95,2.11,4.21,1.11,2
323,7.0,2.9,5.38,1.4200000000000002,2
324,5.4799999999999995,2.48,3.38,0.63,1
325,4.6499999999999995,2.26,2.04,0.6900000000000002,1
326,4.119999999999999,2.95,0.3799999999999999,-0.24,0
327,6.38,2.93,3.72,1.1099999999999999,1
328,5.340000000000001,3.37,1.56,0.14,0
329,5.25,2.31,2.83,0.7,1
330,4.8,2.08,2.19,0.3600000000000001,1
331,4.77,3.38,1.8299999999999998,0.17,0
332,4.949999999999999,3.42,1.0799999999999998,0.15999999999999998,0
333,5.390000000000001,2.48,2.58,0.56,1
334,6.53,3.21,5.33,1.9400000000000002,2
335,6.93,2.59,4.449999999999999,1.5899999999999999,2
336,5.220000000000001,4.15,0.48,-0.03999999999999998,0
337,5.92,3.0999999999999996,3.8800000000000003,1.25,1
338,5.29,3.84,1.07,0.30000000000000004,0
339,4.6,3.29,0.7500000000000001,0.22999999999999998,0
340,7.32,2.4,6.09,1.9499999999999997,2
341,4.88,3.34,1.25,0.09000000000000001,0
342,5.18,4.03,0.71,-0.09999999999999998,0
343,4.75,2.01,2.1899999999999995,0.41000000000000014,1
344,6.5200000000000005,2.9,4.09,1.15,1
345,5.16,3.5199999999999996,0.54,-0.2,0
346,4.4399999999999995,3.4499999999999997,0.18000000000000016,-0.41,0
347,6.130000000000001,2.76,3.73,1.05,1
348,5.4399999999999995,2.4499999999999997,2.59,0.6900000000000001,1
349,4.470000000000001,3.02,-0.14000000000000012,-0.47000000000000003,0
350,6.84,2.51,4.92,1.39,2
351,5.36,2.42,2.7800000000000002,0.69,1
352,5.58,2.79,4.8500000000000005,1.98,2
353,5.51,2.6399999999999997,3.45,1.05,1
354,6.8,2.58,4.89,1.36,2
355,5.1,3.4,1.5,0.2,0
356,5.8100000000000005,2.4899999999999998,4.35,1.56,2
357,5.02,3.95,0.3699999999999999,-0.25,0
358,4.17,3.37,0.07999999999999996,-0.2,0
359,5.55,2.51,3.5300000000000002,0.69,1
360,5.55,2.77,3.8499999999999996,1.3900000000000001,2
361,5.04,3.56,0.95,-0.03999999999999998,0
362,5.06,2.42,3.04,0.8,1
363,4.1499999999999995,3.06,0.2100000000000002,-0.39999999999999997,0
364,6.6499999999999995,2.76,4.930000000000001,1.6800000000000002,2
365,5.72,2.9899999999999998,3.46,1.06,1
366,3.76,1.9099999999999997,-0.27,-0.38000000000000006,0
367,5.65,3.2199999999999998,3.76,1.28,1
368,5.989999999999999,2.84,4.47,1.2999999999999998,1
369,6.0,2.85,4.48,1.3099999999999998,1
370,5.64,2.62,4.76,1.75,2
371,4.69,2.1399999999999997,2.6399999999999997,0.72,1
372,5.07,2.28,3.08,0.9,1
373,5.92,3.36,4.33,1.53,1
374,5.65,2.0100000000000002,3.25,0.6699999999999999,1
375,5.6,2.34,4.529999999999999,0.94,2
376,4.78,3.12,-0.24,-0.47000000000000003,0
377,6.66,2.98,5.11,2.26,2
378,5.31,2.5,3.99,1.02,1
379,4.4,2.84,0.43999999999999995,-0.36,0
380,6.98,2.42,5.16,1.33,2
381,4.66,3.32,0.8800000000000001,0.29,0
382,6.470000000000001,2.88,4.1899999999999995,1.9099999999999997,2
383,5.89,2.14,4.76,1.4,2
384,3.7700000000000005,2.87,-0.040000000000000036,-0.37999999999999995,0
385,7.3,3.59,5.84,1.83,2
386,6.06,2.38,4.390000000000001,1.28,1
387,3.88,3.02,-0.14000000000000012,-0.37000000000000005,0
388,6.029999999999999,3.1599999999999997,5.43,2.25,2
389,5.38,2.3699999999999997,3.0599999999999996,1.05,2
390,4.779999999999999,2.57,2.3599999999999994,0.55,1
391,5.63,3.77,1.56,0.24,0
392,5.130000000000001,3.76,1.13,0.15000000000000002,0
393,5.84,2.41,4.109999999999999,1.38,2
394,5.140000000000001,2.86,3.95,1.26,1
395,4.66,3.0300000000000002,1.31,0.07,0
396,6.0600000000000005,3.02,3.77,1.18,1
397,5.529999999999999,2.86,3.44,1.23,1
398,5.82,2.96,4.92,1.72,2
399,5.489999999999999,2.48,3.39,0.6399999999999999,1
400,4.489999999999999,3.54,0.78,0.1,0
401,4.98,3.1900000000000004,1.16,0.18000000000000002,0
402,5.640000000000001,1.9100000000000001,3.31,0.99,1
403,3.93,1.9999999999999998,0.09000000000000008,-0.22000000000000003,0
404,5.0,2.4899999999999998,3.62,1.45,2
405,5.25,2.47,3.8600000000000003,0.97,1
406,5.87,2.73,3.5999999999999996,1.0,1
407,4.779999999999999,3.63,1.21,0.10000000000000003,0
408,6.12,2.19,4.56,1.26,2
409,3.6700000000000004,2.8200000000000003,-0.26,-0.48000000000000004,0
410,5.47,3.83,0.49,-0.10999999999999999,0
411,4.96,3.43,1.1099999999999999,0.16999999999999998,0
412,5.28,2.8800000000000003,3.4799999999999995,1.23,1
413,4.210000000000001,2.74,0.020000000000000018,-0.54,0
414,4.37,3.07,0.26,-0.17999999999999994,0
415,4.79,3.0900000000000003,0.76,0.010000000000000009,0
416,4.82,3.1,0.27,-0.13,0
417,5.39,2.53,3.2,0.7499999999999999,1
418,6.32,2.91,4.83,1.84,2
419,5.3,2.29,3.2600000000000002,0.81,1
420,4.4,3.18,0.010000000000000009,-0.26000000000000006,0
421,4.44,2.27,1.1600000000000001,0.24,0
422,5.2299999999999995,2.4000000000000004,2.6799999999999997,0.6699999999999999,1
423,6.78,3.14,5.44,2.19,2
424,7.28,2.7399999999999998,5.85,1.7899999999999998,2
425,5.75,2.7600000000000002,4.11,1.2000000000000002,2
426,4.159999999999999,2.87,0.57,-0.2,0
427,5.869999999999999,2.6799999999999997,3.52,1.09,1
428,6.4799999999999995,2.4699999999999998,4.56,1.05,2
429,6.1899999999999995,2.44,4.67,1.4,1
430,5.28,2.87,3.4799999999999995,1.23,1
431,6.1899999999999995,2.2399999999999998,4.16,1.2,1
432,6.01,2.65,4.4799999999999995,1.23,2
433,5.76,2.87,4.279999999999999,1.58,2
434,4.680000000000001,2.29,2.83,0.8,1
435,3.7100000000000004,2.64,-0.16999999999999993,-0.44,0
436,6.04,2.61,4.819999999999999,1.86,2
437,5.58,2.6900000000000004,4.15,1.28,1
438,6.91,2.6999999999999997,5.47,1.44,2
439,4.3999999999999995,2.79,0.5499999999999999,-0.07,0
440,6.340000000000001,3.1700000000000004,4.37,1.44,1
441,4.75,2.92,1.0899999999999999,0.06,0
442,4.6000000000000005,2.84,0.7699999999999999,-0.07,0
443,5.16,3.67,-0.16000000000000014,-0.38999999999999996,0
444,7.5200000000000005,2.5,6.510000000000001,2.13,2
445,5.49,2.89,3.75,1.01,1
446,4.78,3.12,-0.22999999999999998,-0.46,0
447,4.31,3.09,-0.29000000000000004,-0.53,0
448,5.96,3.28,4.9,2.0799999999999996,2
449,6.16,2.71,3.5299999999999994,1.6199999999999997,2
